sizeX,sizeY,dirt_rate,random_agent_performance,reflexive_agent_performance
2,2,0.1,7.209025707715801,13.046464646464647
2,2,0.2,6.8615055565650005,25.16836219336219
2,2,0.4,12.788518548189238,37.59790764790765
2,2,0.8,10.297677963605453,41.99677617703933
4,4,0.1,2.5522470766677157,8.218102574852225
4,4,0.2,2.0194360507115032,10.492340844898333
4,4,0.4,2.5760107042036515,11.032943130078067
4,4,0.8,3.7936644986299703,16.27871677408849
8,8,0.1,0.6080011666036871,2.592669921020509
8,8,0.2,1.07907646729267,3.183078148434325
8,8,0.4,2.158170617090423,5.313030644253321
8,8,0.8,4.197999999999999,8.22986724917807
16,16,0.1,0.7850000000000006,1.9519999999999988
16,16,0.2,1.656999999999999,3.776999999999999
16,16,0.4,3.3199999999999994,7.422999999999999
16,16,0.8,6.7260000000000035,14.188999999999998
32,32,0.1,0.9830000000000007,2.993
32,32,0.2,1.916999999999999,5.445000000000001
32,32,0.4,3.700999999999999,10.491000000000001
32,32,0.8,7.383000000000003,19.463000000000008
64,64,0.1,0.9930000000000008,3.120999999999998
64,64,0.2,1.8779999999999994,6.249999999999998
64,64,0.4,3.9229999999999987,11.816000000000006
64,64,0.8,7.699000000000001,20.834000000000003
128,128,0.1,0.9770000000000006,3.2659999999999987
128,128,0.2,2.037999999999998,6.663999999999996
128,128,0.4,3.8789999999999996,12.402
128,128,0.8,7.955000000000002,22.298000000000012
