iterations,time
665,0.11367249488830566,True
2000,0.2730269432067871,False
651,0.08676910400390625,True
2000,0.27013731002807617,False
280,0.03782033920288086,True
611,0.07487177848815918,True
1512,0.18967580795288086,True
2000,0.2469615936279297,False
1266,0.15349292755126953,True
243,0.029413700103759766,True
583,0.07928466796875,True
577,0.07324671745300293,True
270,0.03355765342712402,True
220,0.027083396911621094,True
154,0.018752098083496094,True
1884,0.23097777366638184,True
1879,0.23413300514221191,True
2000,0.23891305923461914,False
1532,0.19674110412597656,True
1500,0.17919063568115234,True
418,0.04733014106750488,True
281,0.03163027763366699,True
1027,0.12300395965576172,True
1531,0.19074559211730957,True
2000,0.22445178031921387,False
708,0.0835258960723877,True
911,0.11531233787536621,True
1351,0.15809988975524902,True
2000,0.22812700271606445,False
914,0.11510014533996582,True
